Date,Open,High,Low,Close,Volume,Adj Close
2007-09-04,19.3,19.79,19.01,19.14,39534100,16.899
2007-09-05,19.29,20.4,19.14,19.55,45416600,17.261
2007-09-06,19.68,20.43,19.21,19.84,42353200,17.517
2007-09-07,19.65,21.82,19.5,21.82,78541600,19.265
2007-09-10,22.68,23.95,21.42,23.45,80446500,20.704
2007-09-11,23.37,23.37,21.11,21.11,49135100,18.637999999999998
2007-09-12,20.49,21.3,19.5,20.18,52283100,17.817
2007-09-13,20.21,22.2,20.21,22.2,52007900,19.601
2007-09-14,22.2,22.2,22.2,22.2,0,19.601
2007-09-17,22.2,22.2,22.2,22.2,0,19.601
2007-09-18,22.2,22.2,22.2,22.2,0,19.601
2007-09-19,22.2,22.2,22.2,22.2,0,19.601
2007-09-20,22.2,22.2,22.2,22.2,0,19.601
2007-09-21,22.0,23.48,19.98,19.98,60164500,17.641
2007-09-24,19.12,19.15,17.98,18.01,67763200,15.901
2007-09-25,18.01,18.6,17.5,18.24,32123400,16.104
2007-09-26,18.13,18.14,17.02,17.24,35693300,15.222000000000001
2007-09-27,17.3,17.55,16.93,17.36,20487200,15.327
2007-09-28,17.57,18.5,17.55,18.29,25618200,16.149
2007-10-01,18.29,18.29,18.29,18.29,0,16.149
2007-10-02,18.29,18.29,18.29,18.29,0,16.149
2007-10-03,18.29,18.29,18.29,18.29,0,16.149
2007-10-04,18.29,18.29,18.29,18.29,0,16.149
2007-10-05,18.29,18.29,18.29,18.29,0,16.149
2007-10-08,18.8,18.8,17.45,17.72,29401200,15.645
2007-10-09,17.65,17.65,16.9,17.37,23085100,15.335999999999999
2007-10-10,17.35,18.17,17.0,17.71,25612200,15.637
2007-10-11,17.73,17.81,17.1,17.44,30473300,15.398
2007-10-12,17.73,17.73,15.7,16.8,51802700,14.833
2007-10-15,16.8,17.5,16.8,17.42,30731400,15.38
2007-10-16,17.5,17.6,16.72,17.03,25416100,15.036
2007-10-17,17.1,17.6,17.01,17.3,23965600,15.275
2007-10-18,17.3,17.4,16.5,16.57,16155400,14.63
2007-10-19,16.7,16.95,16.18,16.26,13552800,14.356
2007-10-22,16.26,16.26,15.2,15.23,15911000,13.447000000000001
2007-10-23,15.23,15.5,14.46,15.16,20210000,13.385
2007-10-24,15.15,16.68,15.12,15.84,27953600,13.985
2007-10-25,15.8,16.9,14.78,16.47,30232700,14.542
2007-10-26,16.3,17.26,15.98,16.84,28342100,14.868
2007-10-29,17.1,18.11,16.89,17.2,38397000,15.186
2007-10-30,17.25,17.45,16.65,17.28,16997600,15.257
2007-10-31,17.47,18.47,17.1,18.23,44751800,16.096
2007-11-01,18.0,18.36,17.63,17.8,25401900,15.716
2007-11-02,17.61,17.61,16.79,16.81,18438600,14.842
2007-11-05,16.75,17.4,16.05,16.92,11889100,14.939
2007-11-06,17.08,18.22,16.91,18.0,26738300,15.892999999999999
2007-11-07,18.04,18.35,17.35,17.66,16014100,15.592
2007-11-08,17.8,18.19,16.8,16.97,18774200,14.982999999999999
2007-11-09,16.95,17.19,16.0,16.14,15489100,14.25
2007-11-12,15.87,16.28,15.0,16.11,14067700,14.224
2007-11-13,16.15,16.49,15.65,15.78,11227500,13.932
2007-11-14,16.03,16.59,15.78,16.57,12218200,14.63
2007-11-15,16.5,16.75,15.77,15.96,11655900,14.091
2007-11-16,15.7,16.2,15.3,15.9,7740700,14.038
2007-11-19,15.92,16.51,15.8,16.35,9445700,14.436
2007-11-20,16.36,16.98,16.06,16.83,13577100,14.86
2007-11-21,16.85,16.98,16.32,16.33,9614500,14.418
2007-11-22,16.13,16.28,15.49,15.55,8632200,13.729000000000001
2007-11-23,15.36,15.86,15.2,15.85,7532500,13.994000000000002
2007-11-26,16.0,16.3,15.8,16.05,6670500,14.171
2007-11-27,16.18,16.45,16.0,16.06,7840600,14.18
2007-11-28,16.15,16.84,16.15,16.59,16694100,14.648
2007-11-29,16.67,17.07,16.67,16.91,16876000,14.93
2007-11-30,17.06,17.06,16.1,16.16,10824000,14.267999999999999
2007-12-03,16.08,16.8,15.81,16.42,7622400,14.498
2007-12-04,16.44,16.65,16.15,16.21,6376700,14.312000000000001
2007-12-05,16.11,16.51,16.06,16.49,10911700,14.559000000000001
2007-12-06,16.52,16.98,16.42,16.91,13562200,14.93
2007-12-07,17.03,17.39,16.7,17.35,22628800,15.319
2007-12-10,17.4,19.09,17.4,19.09,52971200,16.855
2007-12-11,19.4,19.79,18.8,19.22,57278600,16.97
2007-12-12,19.0,19.6,18.85,19.07,24992200,16.837
2007-12-13,19.0,19.5,17.76,17.86,33178700,15.769
2007-12-14,17.58,19.45,17.5,19.22,29108100,16.97
2007-12-17,19.2,20.2,19.0,19.22,42566500,16.97
2007-12-18,19.05,19.69,18.9,19.33,15780500,17.067
2007-12-19,19.35,20.06,19.35,19.67,25395000,17.367
2007-12-20,19.71,20.2,19.56,19.64,21881200,17.340999999999998
2007-12-21,19.5,20.0,19.3,19.69,25117500,17.385
2007-12-24,19.86,20.68,19.61,20.3,33454300,17.923
2007-12-25,20.32,20.48,19.88,20.08,20484300,17.729
2007-12-26,20.08,21.3,20.08,21.08,29271800,18.612000000000002
2007-12-27,21.34,21.35,20.5,20.66,31260500,18.241
2007-12-28,20.8,21.7,20.75,21.16,43411200,18.683
2007-12-31,21.16,21.16,21.16,21.16,0,18.683
2008-01-01,21.16,21.16,21.16,21.16,0,18.683
2008-01-02,21.5,23.2,21.43,22.6,57667400,19.954
2008-01-03,22.55,22.98,22.1,22.66,33727300,20.007
2008-01-04,22.65,22.65,21.8,22.31,27118700,19.698
2008-01-07,22.0,22.08,21.5,21.92,34402200,19.354
2008-01-08,21.94,21.99,21.0,21.03,43988500,18.567999999999998
2008-01-09,20.8,21.7,20.56,21.68,35661700,19.142
2008-01-10,21.86,21.97,21.22,21.55,32916600,19.027
2008-01-11,21.65,22.33,21.31,22.28,37654000,19.671
2008-01-14,22.43,23.1,22.3,22.45,46128000,19.822
2008-01-15,22.46,22.57,21.65,21.82,28530900,19.265
2008-01-16,21.82,21.83,21.12,21.18,20787900,18.7
2008-01-17,20.96,21.43,19.6,20.24,27340000,17.87
2008-01-18,20.3,20.85,19.89,20.35,15474100,17.967
2008-01-21,20.36,20.5,18.4,18.67,21396600,16.484
2008-01-22,17.99,18.15,16.8,16.8,28648200,14.833
2008-01-23,16.81,17.8,16.38,17.69,25009500,15.619000000000002
2008-01-24,17.85,18.13,17.29,17.72,22762900,15.645
2008-01-25,17.67,18.28,17.12,18.01,24209100,15.901
2008-01-28,18.05,18.05,16.21,16.21,21062000,14.312000000000001
2008-01-29,16.39,16.9,16.0,16.58,11966400,14.639000000000001
2008-01-30,16.88,17.18,16.15,16.59,11753900,14.648
2008-01-31,16.56,17.0,16.3,16.67,9117600,14.718
2008-02-01,16.53,16.88,15.16,15.89,11841700,14.03
2008-02-04,16.5,17.48,16.13,17.48,16084600,15.433
2008-02-05,17.42,18.0,17.03,17.82,17512000,15.734000000000002
2008-02-06,17.82,17.82,17.82,17.82,0,15.734000000000002
2008-02-07,17.82,17.82,17.82,17.82,0,15.734000000000002
2008-02-08,17.82,17.82,17.82,17.82,0,15.734000000000002
2008-02-11,17.82,17.82,17.82,17.82,0,15.734000000000002
2008-02-12,17.82,17.82,17.82,17.82,0,15.734000000000002
2008-02-13,17.94,18.02,17.4,17.59,13118000,15.530999999999999
2008-02-14,17.93,18.12,17.58,17.79,9846400,15.707
2008-02-15,17.73,17.73,17.03,17.59,8513200,15.530999999999999
2008-02-18,17.64,18.14,17.64,17.88,13650800,15.787
2008-02-19,17.95,18.18,17.8,18.16,17277200,16.034000000000002
2008-02-20,18.3,18.38,17.64,17.65,13977000,15.584000000000001
2008-02-21,17.54,17.6,16.94,17.25,13067500,15.23
2008-02-22,17.28,17.38,16.49,16.66,13731200,14.709000000000001
2008-02-25,16.72,16.95,15.81,15.91,10622100,14.047
2008-02-26,16.4,16.68,15.67,16.32,9633200,14.409
2008-02-27,16.43,16.78,16.2,16.64,6701100,14.692
2008-02-28,16.65,16.69,16.14,16.32,8006600,14.409
2008-02-29,16.31,17.75,16.2,17.69,17650400,15.619000000000002
2008-03-03,17.5,19.03,17.3,18.81,39064500,16.608
